,polygon,year,lst_day_mean,lst_day_max,lst_day_min,lst_night_mean,lst_night_max,lst_night_min
0,90094,2010,30.428374269005815,34.579999999999984,26.78000000000003,14.03449122807018,14.829999999999984,13.680000000000007
1,90094,2012,31.872000000000014,35.139999999999986,28.980000000000018,15.841450292397667,16.100000000000023,15.519999999999982
2,90094,2014,33.891999999999996,37.660000000000025,30.420000000000016,16.557333333333304,17.24000000000001,15.400000000000034
3,90094,2016,30.575134502924016,33.94,27.80000000000001,15.673520467836283,16.00999999999999,15.269999999999982
4,90094,2018,32.051391812865575,35.95999999999998,29.079999999999984,15.079111111111104,15.54000000000002,13.860000000000014
5,90094,2020,31.472163742690043,36.19999999999999,29.74000000000001,16.287719298245634,16.939999999999998,15.800000000000011
6,90274,2010,27.964466925254158,33.75999999999999,21.24000000000001,12.203763497221871,14.100000000000023,11.0
7,90274,2012,29.055602264388313,34.01999999999998,21.829999999999984,14.063497221930902,15.660000000000025,12.920000000000016
8,90274,2014,31.77935842331493,36.94,23.840000000000032,15.0319446482859,16.319999999999993,14.360000000000014
9,90274,2016,28.97048852080917,34.24000000000001,21.74000000000001,13.20457280637379,14.5,11.939999999999998
10,90274,2018,29.997145403082015,35.5,23.310000000000002,13.324239438096129,14.319999999999993,12.240000000000009
11,90274,2020,29.954485795156756,35.01999999999998,23.319999999999993,14.68780165635809,16.019999999999982,13.660000000000025
12,90272,2010,26.106260011669235,29.879999999999995,23.0,12.168625682915149,12.920000000000016,10.879999999999995
13,90272,2012,27.190165490903325,32.25999999999999,24.04000000000002,13.724760515567823,15.060000000000002,12.759999999999991
14,90272,2014,30.50167930833277,36.51999999999998,26.75999999999999,15.099326367156323,16.220000000000027,13.740000000000009
15,90272,2016,27.172247387683626,31.360000000000014,24.220000000000027,12.530243462578937,14.379999999999995,11.579999999999984
16,90272,2018,27.046354426351286,31.860000000000014,24.69999999999999,13.562978836259447,14.5,12.340000000000032
17,90272,2020,27.27616506656767,31.220000000000027,24.78000000000003,14.291899962870616,15.54000000000002,13.350000000000023
18,93563,2010,27.730001507967017,38.69999999999999,19.5,7.375125580148335,11.319999999999993,3.400000000000034
19,93563,2012,33.57317929728714,44.60000000000002,27.519999999999982,12.784911951476886,16.04000000000002,8.879999999999995
20,93563,2014,32.50822043127857,41.48000000000002,26.04000000000002,10.791355997520213,15.759999999999991,6.319999999999993
21,93563,2016,29.855398689744106,41.660000000000025,23.25999999999999,9.53880200392058,12.800000000000011,5.060000000000002
22,93563,2018,30.733417556087943,40.44,24.579999999999984,10.88884908600437,15.139999999999986,6.840000000000032
23,93563,2020,30.62549503208612,39.25999999999999,22.28000000000003,11.718808203340984,15.800000000000011,7.400000000000034
24,90077,2010,28.519488773747753,31.75999999999999,26.680000000000007,12.668987910190026,13.800000000000011,12.28000000000003
25,90077,2012,30.03377892918826,33.60000000000002,28.30000000000001,14.135139896373119,15.240000000000009,13.5
26,90077,2014,33.05516407599316,36.420000000000016,30.879999999999995,15.46853540587233,16.45999999999998,14.980000000000018
27,90077,2016,29.6048324697756,32.400000000000034,28.120000000000005,13.302338514680514,14.45999999999998,12.45999999999998
28,90077,2018,30.00601381692576,32.860000000000014,27.75999999999999,13.697858376511192,14.480000000000018,12.360000000000014
29,90077,2020,30.258231433506012,33.30000000000001,28.220000000000027,14.904412780656344,15.699999999999989,14.170000000000016
30,90732,2010,30.1689504950495,35.28000000000003,24.180000000000007,13.365219801980231,14.379999999999995,12.340000000000032
31,90732,2012,31.716974257425818,35.69999999999999,26.610000000000014,14.96512871287132,15.980000000000018,14.139999999999986
32,90732,2014,34.468693069306994,38.94,28.560000000000002,15.917845544554552,16.860000000000014,15.100000000000023
33,90732,2016,31.913845544554476,35.120000000000005,29.069999999999993,14.036609900990072,15.300000000000011,13.019999999999982
34,90732,2018,32.76392079207926,36.19999999999999,29.74000000000001,13.797283168316994,14.639999999999986,13.300000000000011
35,90732,2020,32.46533861386149,35.95999999999998,28.54000000000002,15.913805940594102,16.579999999999984,15.060000000000002
36,90013,2010,39.45356275303641,40.75999999999999,37.69999999999999,15.771700404858336,16.24000000000001,15.379999999999995
37,90013,2012,41.15202429149798,42.120000000000005,39.45999999999998,17.02906882591094,17.45999999999998,16.660000000000025
38,90013,2014,42.5782186234818,43.68000000000001,40.660000000000025,17.668502024291513,18.439999999999998,17.28000000000003
39,90013,2016,39.424412955465584,40.639999999999986,37.84000000000003,16.133238866396766,16.480000000000018,15.900000000000034
40,90013,2018,40.2291093117409,41.84000000000003,38.51999999999998,15.780850202429122,16.420000000000016,15.379999999999995
41,90013,2020,41.484291497975676,43.48000000000002,39.06,17.435080971659886,17.49000000000001,17.360000000000014
42,90021,2010,40.942438725490206,41.48000000000002,39.360000000000014,15.2464338235294,15.800000000000011,14.560000000000002
43,90021,2012,42.15465686274513,43.0,40.78000000000003,16.746188725490242,17.24000000000001,16.400000000000034
44,90021,2014,44.03752450980397,44.639999999999986,42.920000000000016,17.57490196078436,18.04000000000002,17.24000000000001
45,90021,2016,40.696985294117724,41.420000000000016,39.24000000000001,15.790379901960875,16.160000000000025,15.259999999999991
46,90021,2018,41.69397058823529,42.150000000000034,40.51999999999998,15.270416666666733,15.819999999999993,15.060000000000002
47,90021,2020,43.10355392156862,43.84000000000003,40.879999999999995,17.044656862745114,17.49000000000001,16.5
48,90058,2010,41.2447740112994,42.620000000000005,40.10000000000002,14.795548022598837,15.079999999999984,14.560000000000002
49,90058,2012,42.65821468926549,43.620000000000005,41.25999999999999,16.211988700564973,16.639999999999986,15.920000000000016
50,90058,2014,44.449502824858655,45.22000000000003,43.379999999999995,16.959915254237274,17.660000000000025,16.69999999999999
51,90058,2016,41.15097175141233,41.98000000000002,39.900000000000034,15.247700564971694,15.800000000000011,14.939999999999998
52,90058,2018,41.54922033898305,42.400000000000034,40.25999999999999,14.905954802259828,15.379999999999995,14.579999999999984
53,90058,2020,43.49214124293786,44.45999999999998,42.34000000000003,16.56238135593219,17.319999999999993,16.079999999999984
54,90007,2010,38.320459183673506,39.31999999999999,37.68000000000001,15.199887755101997,15.740000000000009,14.300000000000011
55,90007,2012,39.87476530612241,40.74000000000001,39.48000000000002,16.778459183673533,17.160000000000025,16.139999999999986
56,90007,2014,42.00447959183674,42.98000000000002,41.10000000000002,17.746020408163247,18.120000000000005,17.120000000000005
57,90007,2016,38.92791836734693,39.860000000000014,37.879999999999995,15.929846938775484,16.120000000000005,15.28000000000003
58,90007,2018,39.99622448979585,40.78000000000003,39.06,15.543173469387796,15.920000000000016,14.860000000000014
59,90007,2020,40.66883673469391,42.18000000000001,39.160000000000025,17.07508673469397,17.620000000000005,16.400000000000034
60,90014,2010,39.21814159292035,39.420000000000016,37.69999999999999,15.762212389380522,16.24000000000001,15.079999999999984
61,90014,2012,40.86849557522123,41.120000000000005,39.45999999999998,17.25840707964602,17.45999999999998,17.24000000000001
62,90014,2014,42.713362831858376,42.94,40.660000000000025,17.70610619469028,18.439999999999998,17.5
63,90014,2016,39.22761061946903,39.44,37.84000000000003,16.193008849557486,16.480000000000018,16.160000000000025
64,90014,2018,40.281592920354,40.51999999999998,38.51999999999998,15.856814159292014,16.420000000000016,15.740000000000009
65,90014,2020,41.008318584070764,42.0,39.06,17.37172566371686,17.439999999999998,17.269999999999982
